THD,T,Epsilon,Time
16,128,0.15,2.59751
16,128,0.15,2.59567
16,128,0.15,2.59383
16,128,0.15,2.59397
16,256,0.2,2.82402
16,256,0.2,2.8243
16,256,0.2,2.82106
16,256,0.2,2.82226
16,256,0.2,2.82217
16,256,0.2,2.82469
16,256,0.2,2.82417
16,256,0.2,2.82039
16,256,0.2,2.8223
16,256,0.2,2.82148
16,256,0.2,2.82298
16,256,0.2,2.82047
16,256,0.2,2.82121
16,256,0.2,2.82327
16,256,0.2,2.82537
16,256,0.2,2.82626
16,256,0.2,2.82487
16,256,0.2,2.82358
16,256,0.2,2.82117
16,256,0.2,2.82294
16,256,0.2,2.8273
16,256,0.2,2.82414
16,256,0.2,2.82544
16,256,0.2,2.82754
16,256,0.2,2.82495
16,256,0.2,2.82394
16,256,0.2,2.82691
16,256,0.2,2.82075
16,256,0.2,2.82243
16,256,0.2,2.82218
16,256,0.2,2.81924
16,256,0.2,2.83517
16,256,0.2,2.8403
16,256,0.2,2.82483
16,256,0.2,2.82398
16,256,0.2,2.8248
16,256,0.2,2.8242
16,256,0.2,2.8237
16,256,0.2,2.82442
16,256,0.2,2.82788
16,256,0.2,2.82909
16,256,0.2,2.82733
16,256,0.2,2.82861
16,256,0.2,2.82492
16,256,0.2,2.82468
16,256,0.2,2.82525
16,256,0.2,2.82337
16,256,0.2,2.82451
16,256,0.2,2.82782
16,256,0.2,2.82597
16,512,0.35,2.19182
16,512,0.35,2.19049
16,512,0.35,2.19088
16,512,0.35,2.18983
16,512,0.35,2.18865
16,512,0.35,2.19008
16,512,0.35,2.20622
16,512,0.35,2.18921
16,512,0.35,2.19681
16,512,0.35,2.18905
16,512,0.35,2.19209
16,512,0.35,2.19254
16,512,0.35,2.18926
16,512,0.35,2.18935
16,512,0.35,2.18928
16,512,0.35,2.18893
16,512,0.35,2.1901
16,512,0.35,2.188
16,512,0.35,2.19025
16,512,0.35,2.18903
16,512,0.35,2.19122
16,512,0.35,2.18989
16,512,0.35,2.18811
16,512,0.35,2.18799
16,512,0.35,2.18855
16,512,0.35,2.18954
16,512,0.35,2.1885
16,512,0.35,2.18998
16,512,0.35,2.18984
16,512,0.35,2.18967
16,512,0.35,2.19169
16,512,0.35,2.18913
16,512,0.35,2.18924
16,512,0.35,2.19202
16,512,0.35,2.19095
16,512,0.35,2.18922
16,512,0.35,2.18965
16,512,0.35,2.18888
16,512,0.35,2.18921
16,512,0.35,2.19273
16,512,0.35,2.18949
16,512,0.35,2.19001
16,512,0.35,2.19146
16,512,0.35,2.19046
16,512,0.35,2.1901
16,512,0.35,2.19176
16,512,0.35,2.18978
16,512,0.35,2.1901
16,512,0.35,2.18851
16,512,0.35,2.18988
16,1024,0.5,2.88452
16,1024,0.5,2.88552
16,1024,0.5,2.88467
16,1024,0.5,2.88512
16,1024,0.5,2.88452
16,1024,0.5,2.88362
16,1024,0.5,2.8849
16,1024,0.5,2.88273
16,1024,0.5,2.88477
16,1024,0.5,2.88526
16,1024,0.5,2.88732
16,1024,0.5,2.8861
16,1024,0.5,2.88666
16,1024,0.5,2.88423
16,1024,0.5,2.88288
16,1024,0.5,2.88319
16,1024,0.5,2.88865
16,1024,0.5,2.88342
16,1024,0.5,2.88349
16,1024,0.5,2.88295
16,1024,0.5,2.88311
16,1024,0.5,2.8844
16,1024,0.5,2.88521
16,1024,0.5,2.88328
16,1024,0.5,2.88598
16,1024,0.5,2.88374
16,1024,0.5,2.88304
16,1024,0.5,2.88448
16,1024,0.5,2.88411
16,1024,0.5,2.88067
16,1024,0.5,2.88304
16,1024,0.5,2.88272
16,1024,0.5,2.88242
16,1024,0.5,2.88311
16,1024,0.5,2.88418
16,1024,0.5,2.8836
16,1024,0.5,2.8845
16,1024,0.5,2.88313
16,1024,0.5,2.88207
16,1024,0.5,2.88115
16,1024,0.5,2.881
16,1024,0.5,2.88443
16,1024,0.5,2.88503
16,1024,0.5,2.8835
16,1024,0.5,2.88208
16,1024,0.5,2.88442
16,1024,0.5,2.88276
16,1024,0.5,2.88339
16,1024,0.5,2.88157
16,1024,0.5,2.88529
