THD,T,Epsilon,Time
2,512,0.35,14.5439
2,512,0.35,14.547
2,512,0.35,14.5437
2,512,0.35,14.5455
2,512,0.35,14.5477
2,512,0.35,14.5457
2,512,0.35,14.5403
2,512,0.35,14.5461
2,512,0.35,14.543
2,512,0.35,14.5425
2,512,0.35,14.5427
2,512,0.35,14.5405
2,512,0.35,14.5412
2,512,0.35,14.5338
2,512,0.35,14.5323
2,512,0.35,14.5299
2,512,0.35,14.531
2,512,0.35,14.5309
2,512,0.35,14.5275
2,512,0.35,14.5242
2,512,0.35,14.5268
2,512,0.35,14.5482
2,512,0.35,14.5288
2,512,0.35,14.5265
2,512,0.35,14.5246
2,512,0.35,14.5234
2,512,0.35,14.5261
2,512,0.35,14.532
2,512,0.35,14.5324
2,512,0.35,14.5246
2,512,0.35,14.5249
2,512,0.35,14.5351
2,512,0.35,14.524
2,512,0.35,14.5225
2,512,0.35,14.5215
2,512,0.35,14.5298
2,512,0.35,14.5211
2,512,0.35,14.527
2,512,0.35,14.5283
2,1024,0.5,19.6648
2,1024,0.5,19.6746
2,1024,0.5,19.6534
2,1024,0.5,19.6642
2,1024,0.5,19.6657
2,1024,0.5,19.6468
2,1024,0.5,19.6584
2,1024,0.5,19.6829
2,1024,0.5,19.644
2,1024,0.5,19.6446
2,1024,0.5,19.6541
2,1024,0.5,19.6493
2,1024,0.5,19.6737
2,1024,0.5,19.6757
2,1024,0.5,19.6534
2,1024,0.5,19.6511
2,1024,0.5,19.6701
2,1024,0.5,19.6669
2,1024,0.5,19.6638
2,1024,0.5,19.6617
2,1024,0.5,19.6579
2,1024,0.5,19.6693
2,1024,0.5,19.6656
2,1024,0.5,19.6587
2,1024,0.5,19.6599
2,1024,0.5,19.6652
2,1024,0.5,19.6681
2,1024,0.5,19.6602
2,1024,0.5,19.676
2,1024,0.5,19.6825
2,1024,0.5,19.6697
2,1024,0.5,19.6612
2,1024,0.5,19.6446
2,1024,0.5,19.6411
2,1024,0.5,19.664
2,1024,0.5,19.6962
2,1024,0.5,19.6662
2,1024,0.5,19.6475
2,1024,0.5,19.6422
2,1024,0.5,19.6425
2,1024,0.5,19.6375
2,1024,0.5,19.6591
2,1024,0.5,19.6697
2,1024,0.5,19.6387
2,1024,0.5,19.6476
2,1024,0.5,19.6574
2,1024,0.5,19.6565
2,1024,0.5,19.6502
2,1024,0.5,19.6607
2,1024,0.5,19.6612
4,32,0.0001,0.742817
4,32,0.0001,0.744187
4,32,0.0001,0.744259
4,32,0.0001,0.742022
4,32,0.0001,0.741932
4,32,0.0001,0.74166
4,32,0.0001,0.74384
4,32,0.0001,0.743723
4,32,0.0001,0.742705
4,32,0.0001,0.743823
4,32,0.0001,0.7458
4,32,0.0001,0.743008
4,32,0.0001,0.74531
4,32,0.0001,0.745025
4,32,0.0001,0.743891
4,32,0.0001,0.743227
4,32,0.0001,0.741726
4,32,0.0001,0.743984
4,32,0.0001,0.743536
4,32,0.0001,0.744442
4,32,0.0001,0.743424
4,32,0.0001,0.744447
4,32,0.0001,0.743589
4,32,0.0001,0.745042
4,32,0.0001,0.742821
4,32,0.0001,0.743331
4,32,0.0001,0.742628
4,32,0.0001,0.743511
4,32,0.0001,0.743599
4,32,0.0001,0.744521
4,32,0.0001,0.743968
4,32,0.0001,0.744372
