THD,T,Time
4,1,0.0149067
4,1,0.0147026
4,1,0.0145609
4,1,0.0147982
4,1,0.0151251
4,1,0.0154743
4,1,0.0159633
4,1,0.0152326
4,1,0.0145916
4,1,0.0146509
4,1,0.0145824
4,1,0.0145376
4,1,0.0148192
4,1,0.0151719
4,1,0.0151898
4,1,0.0152178
4,1,0.0145918
4,1,0.0146738
4,1,0.0146081
4,1,0.0148316
4,1,0.015124
4,1,0.0155554
4,1,0.0149769
4,1,0.0147515
4,1,0.0146779
4,1,0.0143555
4,1,0.0142563
4,1,0.0144918
4,1,0.0144689
4,1,0.0146636
4,1,0.0145585
4,1,0.0143635
4,1,0.0145384
4,1,0.0144105
4,1,0.0142656
4,1,0.0145101
4,1,0.0154399
4,1,0.0161292
4,1,0.0156163
4,1,0.0147256
4,1,0.0146512
4,1,0.0142849
4,1,0.0150186
4,1,0.0151874
4,1,0.0147622
4,1,0.0145577
4,1,0.0146217
4,1,0.0145589
4,1,0.0143964
4,1,0.0144714
4,2,0.040972
4,2,0.0363612
4,2,0.0379164
4,2,0.0432191
4,2,0.036673
4,2,0.0367749
4,2,0.036219
4,2,0.0368301
4,2,0.0366013
4,2,0.0396135
4,2,0.0431585
4,2,0.0362973
4,2,0.0364305
4,2,0.0362156
4,2,0.0412099
4,2,0.0375751
4,2,0.0369962
4,2,0.0364728
4,2,0.0365071
4,2,0.0364645
4,2,0.0362947
4,2,0.039777
4,2,0.0364489
4,2,0.0362347
4,2,0.036837
4,2,0.0367455
4,2,0.0441685
4,2,0.0372038
4,2,0.0365495
4,2,0.0363207
4,2,0.0361586
4,2,0.0366746
4,2,0.0362904
4,2,0.0376068
4,2,0.046521
4,2,0.0370105
4,2,0.0366083
4,2,0.0362423
4,2,0.0449329
4,2,0.036825
4,2,0.0368635
4,2,0.036387
4,2,0.0365894
4,2,0.0367894
4,2,0.0363517
4,2,0.0424794
4,2,0.0444914
4,2,0.0403559
4,2,0.0363776
4,2,0.0363774
4,3,0.135181
4,3,0.136363
4,3,0.1303
4,3,0.129724
4,3,0.129729
4,3,0.129781
4,3,0.129521
4,3,0.129785
4,3,0.129959
4,3,0.129575
4,3,0.12992
4,3,0.129709
4,3,0.13003
4,3,0.129809
4,3,0.129647
4,3,0.129831
4,3,0.129719
4,3,0.129626
4,3,0.129956
4,3,0.130186
4,3,0.12726
4,3,0.12778
4,3,0.142784
4,3,0.13023
4,3,0.129644
4,3,0.130085
4,3,0.130171
4,3,0.129688
4,3,0.129794
4,3,0.129623
4,3,0.129925
4,3,0.129901
4,3,0.129572
4,3,0.130102
4,3,0.130314
4,3,0.130205
4,3,0.130058
4,3,0.130099
4,3,0.129822
4,3,0.129277
4,3,0.129748
4,3,0.129641
4,3,0.130175
4,3,0.129785
4,3,0.129918
4,3,0.12955
4,3,0.130213
4,3,0.130001
4,3,0.1297
4,3,0.129906
4,4,0.495321
4,4,0.493902
4,4,0.495502
4,4,0.494767
4,4,0.494292
4,4,0.494052
4,4,0.49619
4,4,0.497706
4,4,0.494479
4,4,0.496945
4,4,0.496412
4,4,0.510939
4,4,0.504901
4,4,0.500486
4,4,0.50883
4,4,0.500348
4,4,0.505874
4,4,0.50742
4,4,0.508507
4,4,0.504122
4,4,0.498545
4,4,0.533468
4,4,0.509629
4,4,0.536433
4,4,0.505661
4,4,0.505839
4,4,0.507717
4,4,0.508724
4,4,0.505095
4,4,0.518996
4,4,0.528686
4,4,0.497592
4,4,0.497736
4,4,0.502906
4,4,0.499522
4,4,0.499334
4,4,0.499645
4,4,0.500004
4,4,0.500879
4,4,0.514356
4,4,0.503067
4,4,0.514524
4,4,0.525794
4,4,0.506543
4,4,0.50694
4,4,0.57887
4,4,0.541047
4,4,0.502681
4,4,0.497413
4,4,0.49632
4,5,2.02916
4,5,2.0322
4,5,2.02539
4,5,2.04575
4,5,2.05426
4,5,2.02863
4,5,2.02891
4,5,2.03639
4,5,2.06077
4,5,2.06506
4,5,2.05385
4,5,2.05735
4,5,2.07647
4,5,2.07695
4,5,2.03814
4,5,1.98925
4,5,2.05127
4,5,2.05724
4,5,2.05268
4,5,2.04693
4,5,2.04845
4,5,2.05104
4,5,2.04568
4,5,2.04291
4,5,2.04809
4,5,2.04516
4,5,2.05181
4,5,2.04475
4,5,2.04894
4,5,2.06977
4,5,2.01369
4,5,2.02414
4,5,1.99192
4,5,2.0124
4,5,2.0098
4,5,2.023
4,5,2.0325
4,5,1.99302
4,5,1.99858
4,5,1.99584
4,5,1.99035
4,5,1.99411
4,5,1.99973
4,5,2.00891
4,5,2.01848
4,5,1.99269
4,5,1.99254
4,5,2.00411
4,5,1.99692
4,5,1.99289
4,6,8.12162
4,6,8.13532
4,6,8.05052
4,6,8.04139
4,6,8.05768
4,6,7.83472
4,6,7.85672
4,6,7.85692
4,6,7.87947
4,6,7.88327
4,6,7.85162
4,6,7.86305
4,6,7.85402
4,6,7.85713
4,6,7.86735
4,6,7.86642
4,6,7.86856
4,6,7.88636
4,6,7.90913
4,6,7.86045
4,6,7.86251
4,6,7.84631
4,6,7.84649
4,6,7.84345
4,6,7.84946
4,6,7.86706
4,6,6.36924
4,6,8.10907
4,6,7.95733
4,6,7.83396
4,6,7.85771
4,6,7.91507
4,6,8.00905
4,6,8.03155
4,6,8.07179
4,6,7.85999
4,6,7.84496
4,6,7.85798
4,6,7.85449
4,6,7.81925
4,6,7.86412
4,6,7.83871
4,6,7.99987
4,6,7.79824
4,6,7.90329
4,6,7.86057
4,6,7.85441
4,6,7.84504
4,6,7.87713
4,6,7.89447
8,1,0.0129659
8,1,0.0127314
8,1,0.0129502
8,1,0.0126402
8,1,0.0132665
8,1,0.0130079
8,1,0.0131274
8,1,0.0133071
8,1,0.0138546
8,1,0.013866
8,1,0.013462
8,1,0.0132241
8,1,0.0128632
8,1,0.0132261
8,1,0.0128647
8,1,0.0127506
8,1,0.012927
8,1,0.0127975
8,1,0.0127423
8,1,0.0137411
8,1,0.0139569
8,1,0.0133747
8,1,0.0130472
8,1,0.0132041
8,1,0.0139095
8,1,0.013847
8,1,0.0132028
8,1,0.0131863
8,1,0.0129467
8,1,0.0137668
8,1,0.0138037
8,1,0.0131477
8,1,0.0128853
8,1,0.0133884
8,1,0.0131
8,1,0.0129902
8,1,0.0127492
8,1,0.0129566
8,1,0.012777
8,1,0.013067
8,1,0.0132806
8,1,0.013952
8,1,0.0139164
8,1,0.0137057
8,1,0.0127947
8,1,0.0132523
8,1,0.013214
8,1,0.0129355
8,1,0.0130094
8,1,0.0131503
8,2,0.0268078
8,2,0.0307344
8,2,0.0298743
8,2,0.0247884
8,2,0.0248137
8,2,0.026163
8,2,0.0306504
8,2,0.0262585
8,2,0.0249811
8,2,0.0292024
8,2,0.0250871
8,2,0.0281987
8,2,0.028148
8,2,0.0249678
8,2,0.0254662
8,2,0.0267622
8,2,0.0249539
8,2,0.0248739
8,2,0.0264381
8,2,0.0305032
8,2,0.0278601
8,2,0.0251773
8,2,0.0248389
8,2,0.0249345
8,2,0.029115
8,2,0.0259117
8,2,0.0249421
8,2,0.0302717
8,2,0.0247012
8,2,0.0251547
8,2,0.0250101
8,2,0.0269011
8,2,0.0266665
8,2,0.0249525
8,2,0.0269562
8,2,0.030589
8,2,0.0270069
8,2,0.0301599
8,2,0.0256895
8,2,0.0248089
8,2,0.0250063
8,2,0.024912
8,2,0.0256165
8,2,0.0304717
8,2,0.0264381
8,2,0.0250202
8,2,0.0249675
8,2,0.024926
8,2,0.02499
8,2,0.0248577
8,3,0.0788003
8,3,0.0772899
8,3,0.0772479
8,3,0.0766332
8,3,0.0884119
8,3,0.0816746
8,3,0.0772881
8,3,0.0768241
8,3,0.0770321
8,3,0.0764757
8,3,0.0933047
8,3,0.0776599
8,3,0.0767931
8,3,0.077005
8,3,0.0763868
8,3,0.0762529
8,3,0.0765242
8,3,0.0778317
8,3,0.076998
8,3,0.0764314
8,3,0.0766026
8,3,0.0924928
8,3,0.0769067
8,3,0.0810814
8,3,0.0785433
8,3,0.0831861
8,3,0.0858792
8,3,0.0762657
8,3,0.0759181
8,3,0.0775461
8,3,0.0797514
8,3,0.0806748
8,3,0.077672
8,3,0.0763601
8,3,0.0765124
8,3,0.0902611
8,3,0.0764263
8,3,0.0845133
8,3,0.0762444
8,3,0.0839619
8,3,0.0763093
8,3,0.0879914
8,3,0.0831216
8,3,0.0766889
8,3,0.0834742
8,3,0.0766085
8,3,0.0808678
8,3,0.0815597
8,3,0.0812508
8,3,0.0875646
8,4,0.307114
8,4,0.280787
8,4,0.285543
8,4,0.283817
8,4,0.276312
8,4,0.271165
8,4,0.275715
8,4,0.267467
8,4,0.279134
8,4,0.275702
8,4,0.268201
8,4,0.283652
8,4,0.267233
8,4,0.279333
8,4,0.266828
8,4,0.275945
8,4,0.27464
8,4,0.280682
8,4,0.272832
8,4,0.268538
8,4,0.268347
8,4,0.270027
8,4,0.268378
8,4,0.270036
8,4,0.272935
8,4,0.277119
8,4,0.267692
8,4,0.29409
8,4,0.282265
8,4,0.282893
8,4,0.296626
8,4,0.307154
8,4,0.282038
8,4,0.267363
8,4,0.266355
8,4,0.26753
8,4,0.267804
8,4,0.267345
8,4,0.267235
8,4,0.267371
8,4,0.267134
8,4,0.267235
8,4,0.266786
8,4,0.271598
8,4,0.266564
8,4,0.266167
8,4,0.268214
8,4,0.266898
8,4,0.267061
8,4,0.267197
8,5,1.11045
8,5,1.07343
8,5,1.06923
8,5,1.07112
8,5,1.06768
8,5,1.1005
8,5,1.08206
8,5,1.1113
8,5,1.07845
8,5,1.06889
8,5,1.06484
8,5,1.06664
8,5,1.06379
8,5,1.05795
8,5,1.06307
8,5,1.06262
8,5,1.06618
8,5,1.06363
8,5,1.07457
8,5,1.08579
8,5,1.11256
8,5,1.10117
8,5,1.11591
8,5,1.13666
8,5,1.06823
8,5,1.08004
8,5,1.09118
8,5,1.08356
8,5,1.06846
8,5,1.0704
8,5,1.06793
8,5,1.07094
8,5,1.06732
8,5,1.06967
8,5,1.06698
8,5,1.06755
8,5,1.06688
8,5,1.06106
8,5,1.05085
8,5,1.07911
8,5,1.14951
8,5,1.13051
8,5,1.15376
8,5,1.11828
8,5,1.11638
8,5,1.10773
8,5,1.17139
8,5,1.13608
8,5,1.1522
8,5,1.14094
8,6,4.22213
8,6,4.26808
8,6,4.23704
8,6,4.30032
8,6,4.21889
8,6,4.05999
8,6,4.0612
8,6,4.05991
8,6,4.07971
8,6,4.06826
8,6,4.01562
8,6,3.99503
8,6,3.99387
8,6,3.99566
8,6,3.99885
8,6,3.99878
8,6,4.00005
8,6,3.99677
8,6,3.99619
8,6,3.99697
8,6,3.99724
