  
0: Prima:
0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
0.00 0.00 0.00 0.00 0.00 5.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00

1 , 1: mat(1, 1) = 0.00+0.50*0.10* ( 0.00+0.00+0.00+0.00-4*0.00) = 0.00
1 , 2: mat(1, 2) = 0.00+0.50*0.10* ( 0.00+0.00+0.00+0.00-4*0.00) = 0.00
1 , 3: mat(1, 3) = 0.00+0.50*0.10* ( 0.00+0.00+0.00+0.00-4*0.00) = 0.00
1 , 4: mat(1, 4) = 0.00+0.50*0.10* ( 0.00+0.00+0.00+0.00-4*0.00) = 0.00
1 , 5: mat(1, 5) = 0.00+0.50*0.10* ( 0.00+0.00+0.00+0.00-4*0.00) = 0.00
1 , 6: mat(1, 6) = 0.00+0.50*0.10* ( 0.00+0.00+0.00+0.00-4*0.00) = 0.00
1 , 7: mat(1, 7) = 0.00+0.50*0.10* ( 0.00+0.00+0.00+0.00-4*0.00) = 0.00
1 , 8: mat(1, 8) = 0.00+0.50*0.10* ( 0.00+0.00+0.00+0.00-4*0.00) = 0.00
1 , 9: mat(1, 9) = 0.00+0.50*0.10* ( 0.00+0.00+0.00+0.00-4*0.00) = 0.00
1 , 10: mat(1, 10) = 0.00+0.50*0.10* ( 0.00+0.00+0.00+0.00-4*0.00) = 0.00
1 , 11: mat(1, 11) = 0.00+0.50*0.10* ( 0.00+0.00+0.00+0.00-4*0.00) = 0.00
1 , 12: mat(1, 12) = 0.00+0.50*0.10* ( 0.00+0.00+0.00+0.00-4*0.00) = 0.00
1 , 13: mat(1, 13) = 0.00+0.50*0.10* ( 0.00+0.00+0.00+0.00-4*0.00) = 0.00
1 , 14: mat(1, 14) = 0.00+0.50*0.10* ( 0.00+0.00+0.00+0.00-4*0.00) = 0.00
1 , 15: mat(1, 15) = 0.00+0.50*0.10* ( 0.00+0.00+0.00+0.00-4*0.00) = 0.00
2 , 1: mat(2, 1) = 0.00+0.50*0.10* ( 0.00+0.00+0.00+0.00-4*0.00) = 0.00
2 , 2: mat(2, 2) = 0.00+0.50*0.10* ( 0.00+0.00+0.00+0.00-4*0.00) = 0.00
2 , 3: mat(2, 3) = 0.00+0.50*0.10* ( 0.00+0.00+0.00+0.00-4*0.00) = 0.00
2 , 4: mat(2, 4) = 0.00+0.50*0.10* ( 0.00+0.00+0.00+0.00-4*0.00) = 0.00
2 , 5: mat(2, 5) = 0.00+0.50*0.10* ( 0.00+0.00+0.00+0.00-4*0.00) = 0.00
2 , 6: mat(2, 6) = 0.00+0.50*0.10* ( 0.00+0.00+0.00+0.00-4*0.00) = 0.00
2 , 7: mat(2, 7) = 0.00+0.50*0.10* ( 0.00+0.00+0.00+0.00-4*0.00) = 0.00
2 , 8: mat(2, 8) = 0.00+0.50*0.10* ( 0.00+0.00+0.00+0.00-4*0.00) = 0.00
2 , 9: mat(2, 9) = 0.00+0.50*0.10* ( 0.00+0.00+0.00+0.00-4*0.00) = 0.00
2 , 10: mat(2, 10) = 0.00+0.50*0.10* ( 0.00+0.00+0.00+0.00-4*0.00) = 0.00
2 , 11: mat(2, 11) = 0.00+0.50*0.10* ( 0.00+0.00+0.00+0.00-4*0.00) = 0.00
2 , 12: mat(2, 12) = 0.00+0.50*0.10* ( 0.00+0.00+0.00+0.00-4*0.00) = 0.00
2 , 13: mat(2, 13) = 0.00+0.50*0.10* ( 0.00+0.00+0.00+0.00-4*0.00) = 0.00
2 , 14: mat(2, 14) = 0.00+0.50*0.10* ( 0.00+0.00+0.00+0.00-4*0.00) = 0.00
2 , 15: mat(2, 15) = 0.00+0.50*0.10* ( 0.00+0.00+0.00+0.00-4*0.00) = 0.00
3 , 1: mat(3, 1) = 0.00+0.50*0.10* ( 0.00+0.00+0.00+0.00-4*0.00) = 0.00
3 , 2: mat(3, 2) = 0.00+0.50*0.10* ( 0.00+0.00+0.00+0.00-4*0.00) = 0.00
3 , 3: mat(3, 3) = 0.00+0.50*0.10* ( 0.00+0.00+0.00+0.00-4*0.00) = 0.00
3 , 4: mat(3, 4) = 0.00+0.50*0.10* ( 0.00+0.00+0.00+0.00-4*0.00) = 0.00
3 , 5: mat(3, 5) = 0.00+0.50*0.10* ( 0.00+0.00+0.00+0.00-4*0.00) = 0.00
3 , 6: mat(3, 6) = 0.00+0.50*0.10* ( 0.00+0.00+0.00+0.00-4*0.00) = 0.00
3 , 7: mat(3, 7) = 0.00+0.50*0.10* ( 0.00+0.00+0.00+0.00-4*0.00) = 0.00
3 , 8: mat(3, 8) = 0.00+0.50*0.10* ( 0.00+0.00+0.00+0.00-4*0.00) = 0.00
3 , 9: mat(3, 9) = 0.00+0.50*0.10* ( 0.00+0.00+0.00+0.00-4*0.00) = 0.00
3 , 10: mat(3, 10) = 0.00+0.50*0.10* ( 0.00+0.00+0.00+0.00-4*0.00) = 0.00
3 , 11: mat(3, 11) = 0.00+0.50*0.10* ( 0.00+0.00+0.00+0.00-4*0.00) = 0.00
3 , 12: mat(3, 12) = 0.00+0.50*0.10* ( 0.00+0.00+0.00+0.00-4*0.00) = 0.00
3 , 13: mat(3, 13) = 0.00+0.50*0.10* ( 0.00+0.00+0.00+0.00-4*0.00) = 0.00
3 , 14: mat(3, 14) = 0.00+0.50*0.10* ( 0.00+0.00+0.00+0.00-4*0.00) = 0.00
3 , 15: mat(3, 15) = 0.00+0.50*0.10* ( 0.00+0.00+0.00+0.00-4*0.00) = 0.00
4 , 1: mat(4, 1) = 0.00+0.50*0.10* ( 0.00+0.00+0.00+0.00-4*0.00) = 0.00
4 , 2: mat(4, 2) = 0.00+0.50*0.10* ( 0.00+0.00+0.00+0.00-4*0.00) = 0.00
4 , 3: mat(4, 3) = 0.00+0.50*0.10* ( 0.00+0.00+0.00+0.00-4*0.00) = 0.00
