T,Time
1,0.726087
1,0.723071
1,0.724197
1,0.722706
1,0.722052
1,0.725495
1,0.724821
1,0.72282
1,0.722442
1,0.721606
1,0.721365
1,0.722673
1,0.721422
1,0.722014
1,0.720674
1,0.722001
1,0.722852
1,0.723129
1,0.720951
1,0.721213
1,0.722012
1,0.721953
1,0.721164
1,0.72038
1,0.722988
1,0.722159
1,0.720875
1,0.723108
1,0.738482
1,0.721019
1,0.721816
1,0.720737
1,0.721249
1,0.722286
1,0.722741
1,0.725679
1,0.719918
1,0.718457
1,0.718836
1,0.720857
1,0.720364
1,0.719996
1,0.719485
1,0.721332
1,0.720927
1,0.721961
1,0.721551
1,0.721813
1,0.721674
1,0.721842
2,15.5752
2,15.5506
2,15.5256
2,15.5931
2,15.6644
2,15.6469
2,15.6597
2,15.6359
2,15.6358
2,15.4853
2,15.4092
2,15.4024
2,15.4504
2,15.4077
2,15.3829
2,15.4023
2,15.4298
2,15.3815
2,15.3397
2,15.3296
2,15.3229
2,15.3298
2,15.3397
2,15.3505
2,15.3458
2,15.4493
2,15.3417
2,15.3512
2,15.2729
2,15.2453
2,15.4512
2,15.4194
2,15.3397
2,15.3695
2,15.3989
2,15.4097
2,15.404
2,15.7487
2,15.4607
2,15.3874
2,15.4107
2,15.3817
2,15.3987
2,15.4034
2,15.7285
2,16.0235
2,15.4111
2,15.397
2,15.423
2,15.4547
3,12.7205
3,12.6993
3,12.6983
3,12.7145
3,12.7581
3,12.7895
3,12.7575
3,12.7611
3,12.7439
3,12.7668
3,12.7477
3,12.7331
3,12.7447
3,12.7165
3,12.744
3,12.7253
3,12.7449
3,12.7447
3,12.7483
3,12.7343
3,12.7385
3,12.7392
3,12.9031
3,12.8914
3,12.9057
3,12.7712
3,12.7684
3,12.751
3,12.8132
3,12.7177
3,12.781
3,12.8769
3,12.6951
3,12.9133
3,12.9115
3,12.8809
3,12.8351
3,12.851
3,12.8292
3,12.8555
3,12.8446
3,12.8735
3,12.9944
3,12.8396
3,12.8888
3,12.861
3,12.8726
3,12.8373
3,12.7932
3,12.7888
4,17.1459
4,17.1639
4,17.1567
4,17.0952
4,17.0441
4,16.9585
4,16.9932
4,17.0158
4,17.063
4,17.2339
4,17.2401
4,16.9966
4,17.1307
4,17.0312
4,17.0536
4,17.037
4,17.019
4,17.0713
4,17.0014
4,16.9492
4,16.9716
4,17.0201
4,17.0303
4,16.9947
4,17.0003
4,17.0073
4,16.992
4,17.013
4,16.9796
4,16.9609
4,16.956
4,16.967
4,16.971
4,17.2322
4,17.0031
4,16.9995
4,16.9921
4,16.9746
4,16.9652
4,16.9941
4,16.9421
4,16.9486
4,16.9615
4,16.9988
4,16.9507
4,17.0159
4,16.9542
4,17.0047
4,17.1478
4,17.131
5,15.0044
5,15.0502
5,15.0157
5,15.1645
5,15.9997
5,15.0338
5,15.1318
5,15.1593
5,15.3248
5,15.1022
5,15.0678
5,15.1027
5,15.0882
5,15.0841
5,15.0783
5,15.0865
5,15.0104
5,15.0043
5,15.0133
5,15.0128
5,15.0376
5,15.0127
5,15.0342
5,15.028
5,15.0494
5,15.0475
5,15.0287
5,15.0345
5,15.0318
5,15.0315
5,15.035
5,15.0222
5,15.0443
5,15.0256
5,15.0169
5,15.0979
5,15.106
5,15.0081
5,15.0095
5,15.0133
5,15.2435
5,15.1649
5,15.1581
5,15.1622
5,15.1535
5,15.0027
5,15.069
5,15.0555
5,15.0367
5,15.0136
6,20.853
6,20.7616
6,20.728
6,20.7309
6,20.733
6,20.7442
6,20.7244
6,20.8029
6,20.7201
6,20.7219
6,21.3328
6,21.0178
6,20.7878
6,21.4729
6,21.5278
6,21.1602
6,21.1751
6,20.9464
6,21.0631
6,21.0767
6,20.9457
6,20.8776
6,20.8476
6,20.786
6,21.2573
6,21.3347
6,21.3356
6,20.9483
6,21.3179
6,21.1441
6,23.6586
6,21.3508
6,21.3981
6,21.4296
6,21.2223
6,21.1122
6,21.105
6,21.0822
6,20.8293
6,21.3017
6,20.816
6,20.806
6,20.8052
6,20.7592
6,20.7459
6,20.7329
6,20.7353
6,20.7303
6,20.7231
6,20.7272
